Year,Min_Production,Avg_Production,Max_Production
2006,2.25,2.3825,2.59
2007,1.96,2.2016666666666667,2.32
2008,1.96,2.0991666666666666,2.26
2009,1.86,2.1108333333333333,2.28
2010,2.21,2.4675,2.88
2011,2.27,2.3808333333333334,2.51
2012,2.03,2.318333333333334,2.48
2013,2.03,2.183333333333333,2.29
2014,2.06,2.2058333333333335,2.33
2015,1.97,2.1266666666666665,2.22
2016,1.5,1.8166666666666664,2.15
2017,1.6,1.8891666666666669,2.01
2018,1.78,1.915,2.01
2019,1.94,2.0125,2.11
2020,1.42,1.7558333333333334,2.07
2021,1.2,1.3083333333333333,1.43
2022,0.94,1.1433333333333335,1.4
